treatment,age,education,black,hispanic,married,RE74,RE75,RE78,pos74,pos75
1.0,37.0,11.0,1.0,0.0,1.0,0.0,0.0,9930.046,0,0
1.0,22.0,9.0,0.0,1.0,0.0,0.0,0.0,3595.894,0,0
1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,24909.45,0,0
1.0,27.0,11.0,1.0,0.0,0.0,0.0,0.0,7506.146,0,0
1.0,33.0,8.0,1.0,0.0,0.0,0.0,0.0,289.7899,0,0
1.0,22.0,9.0,1.0,0.0,0.0,0.0,0.0,4056.494,0,0
1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,32.0,11.0,1.0,0.0,0.0,0.0,0.0,8472.158,0,0
1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,2164.022,0,0
1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,12418.07,0,0
1.0,19.0,9.0,1.0,0.0,0.0,0.0,0.0,8173.908,0,0
1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,17094.64,0,0
1.0,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,27.0,10.0,1.0,0.0,1.0,0.0,0.0,18739.93,0,0
1.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,3023.879,0,0
1.0,19.0,10.0,1.0,0.0,0.0,0.0,0.0,3228.503,0,0
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,14581.86,0,0
1.0,23.0,10.0,1.0,0.0,0.0,0.0,0.0,7693.4,0,0
1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,10804.32,0,0
1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,10747.35,0,0
1.0,23.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,5149.501,0,0
1.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,6408.95,0,0
1.0,24.0,11.0,1.0,0.0,0.0,0.0,0.0,1991.4,0,0
1.0,18.0,10.0,1.0,0.0,0.0,0.0,0.0,11163.17,0,0
1.0,29.0,11.0,1.0,0.0,1.0,0.0,0.0,9642.999,0,0
1.0,25.0,11.0,1.0,0.0,0.0,0.0,0.0,9897.049,0,0
1.0,27.0,10.0,0.0,1.0,0.0,0.0,0.0,11142.87,0,0
1.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,16218.04,0,0
1.0,24.0,11.0,1.0,0.0,0.0,0.0,0.0,995.7002,0,0
1.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,48.0,4.0,1.0,0.0,0.0,0.0,0.0,6551.592,0,0
1.0,25.0,11.0,1.0,0.0,1.0,0.0,0.0,1574.424,0,0
1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,3191.753,0,0
1.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,20505.93,0,0
1.0,25.0,5.0,1.0,0.0,0.0,0.0,0.0,6181.88,0,0
1.0,23.0,12.0,1.0,0.0,1.0,0.0,0.0,5911.551,0,0
1.0,46.0,8.0,1.0,0.0,1.0,0.0,0.0,3094.156,0,0
1.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,1254.582,0,0
1.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,13188.83,0,0
1.0,17.0,8.0,1.0,0.0,0.0,0.0,0.0,8061.485,0,0
1.0,18.0,8.0,0.0,1.0,1.0,0.0,0.0,2787.96,0,0
1.0,20.0,11.0,1.0,0.0,0.0,0.0,0.0,3972.54,0,0
1.0,25.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0
1.0,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,25.0,5.0,1.0,0.0,0.0,0.0,0.0,12187.41,0,0
1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,4843.176,0,0
1.0,28.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,31.0,11.0,1.0,0.0,1.0,0.0,0.0,8087.487,0,0
1.0,18.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,2348.973,0,0
1.0,30.0,11.0,1.0,0.0,1.0,0.0,0.0,590.7818,0,0
1.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,37.0,9.0,1.0,0.0,0.0,0.0,0.0,1067.506,0,0
1.0,41.0,4.0,1.0,0.0,1.0,0.0,0.0,7284.986,0,0
1.0,42.0,14.0,1.0,0.0,1.0,0.0,0.0,13167.52,0,0
1.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,1048.432,0,0
1.0,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,29.0,8.0,1.0,0.0,0.0,0.0,0.0,1923.938,0,0
1.0,35.0,10.0,1.0,0.0,0.0,0.0,0.0,4666.236,0,0
1.0,27.0,11.0,1.0,0.0,0.0,0.0,0.0,549.2984,0,0
1.0,29.0,4.0,1.0,0.0,0.0,0.0,0.0,762.9146,0,0
1.0,28.0,9.0,1.0,0.0,0.0,0.0,0.0,10694.29,0,0
1.0,27.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,45.0,5.0,1.0,0.0,1.0,0.0,0.0,8546.715,0,0
1.0,29.0,13.0,1.0,0.0,0.0,0.0,0.0,7479.656,0,0
1.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,46.0,13.0,1.0,0.0,0.0,0.0,0.0,647.2046,0,0
1.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,11965.81,0,0
1.0,28.0,15.0,1.0,0.0,0.0,0.0,0.0,9598.541,0,0
1.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,18783.35,0,0
1.0,22.0,12.0,1.0,0.0,0.0,0.0,0.0,18678.08,0,0
1.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,40.0,11.0,1.0,0.0,0.0,0.0,0.0,23005.6,0,0
1.0,22.0,11.0,1.0,0.0,0.0,0.0,0.0,6456.697,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,18.0,12.0,1.0,0.0,0.0,0.0,0.0,2321.107,0,0
1.0,38.0,12.0,0.0,0.0,0.0,0.0,0.0,4941.849,0,0
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,27.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,38.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,23.0,8.0,0.0,1.0,0.0,0.0,0.0,3881.284,0,0
1.0,26.0,11.0,1.0,0.0,0.0,0.0,0.0,17230.96,0,0
1.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,8048.603,0,0
1.0,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,31.0,11.0,1.0,0.0,1.0,0.0,0.0,14509.93,0,0
1.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,25.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,9983.784,0,0
1.0,44.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,5587.503,0,0
1.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,4482.845,0,0
1.0,42.0,12.0,1.0,0.0,0.0,0.0,0.0,2456.153,0,0
1.0,25.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,31.0,9.0,0.0,1.0,0.0,0.0,0.0,26817.6,0,0
1.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,26.0,10.0,1.0,0.0,0.0,0.0,0.0,9265.788,0,0
1.0,25.0,11.0,1.0,0.0,0.0,0.0,0.0,485.2298,0,0
1.0,18.0,11.0,1.0,0.0,0.0,0.0,0.0,4814.627,0,0
1.0,19.0,11.0,1.0,0.0,0.0,0.0,0.0,7458.105,0,0
1.0,43.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,34099.28,0,0
1.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,1953.268,0,0
1.0,30.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0,26.0,10.0,1.0,0.0,1.0,2027.999,0.0,0.0,1,0
1.0,17.0,9.0,0.0,1.0,0.0,445.1704,74.34345,6210.67,1,1
1.0,20.0,12.0,1.0,0.0,0.0,989.2678,165.2077,0.0,1,1
1.0,18.0,11.0,1.0,0.0,0.0,858.2543,214.5636,929.8839,1,1
1.0,27.0,12.0,1.0,0.0,1.0,3670.872,334.0493,0.0,1,1
1.0,21.0,12.0,0.0,0.0,0.0,3670.872,334.0494,12558.02,1,1
1.0,27.0,12.0,1.0,0.0,0.0,2143.413,357.9499,22163.25,1,1
1.0,20.0,12.0,1.0,0.0,0.0,0.0,377.5686,1652.637,0,1
1.0,19.0,10.0,1.0,0.0,0.0,0.0,385.2741,8124.715,0,1
1.0,29.0,14.0,1.0,0.0,0.0,0.0,679.6734,17814.98,0,1
1.0,18.0,10.0,1.0,0.0,0.0,0.0,798.9079,9737.154,0,1
1.0,19.0,9.0,1.0,0.0,0.0,0.0,798.9079,17685.18,0,1
1.0,18.0,11.0,0.0,0.0,0.0,3678.231,919.5579,4321.705,1,1
1.0,27.0,9.0,1.0,0.0,1.0,0.0,934.4454,1773.423,0,1
1.0,23.0,10.0,1.0,0.0,1.0,0.0,936.4386,11233.26,0,1
1.0,20.0,11.0,1.0,0.0,0.0,3637.498,1220.836,1085.44,1,1
1.0,17.0,9.0,1.0,0.0,0.0,1716.509,1253.439,5445.2,1,1
1.0,28.0,11.0,1.0,0.0,0.0,0.0,1284.079,60307.93,0,1
1.0,26.0,11.0,1.0,0.0,1.0,0.0,1392.853,1460.36,0,1
1.0,24.0,11.0,1.0,0.0,1.0,824.3886,1666.113,4032.708,1,1
1.0,31.0,9.0,1.0,0.0,0.0,0.0,1698.607,10363.27,0,1
1.0,23.0,8.0,0.0,0.0,1.0,0.0,1713.15,4232.309,0,1
1.0,18.0,10.0,1.0,0.0,0.0,2143.411,1784.274,11141.39,1,1
1.0,26.0,11.0,0.0,0.0,0.0,0.0,2226.266,13385.86,0,1
1.0,24.0,10.0,1.0,0.0,0.0,4250.402,2421.947,1660.508,1,1
1.0,46.0,8.0,1.0,0.0,0.0,3165.658,2594.723,0.0,1,1
1.0,31.0,12.0,0.0,0.0,0.0,0.0,2611.218,2484.549,0,1
1.0,19.0,11.0,1.0,0.0,0.0,2305.026,2615.276,4146.603,1,1
1.0,19.0,8.0,1.0,0.0,0.0,0.0,2657.057,9970.681,0,1
1.0,27.0,11.0,1.0,0.0,0.0,2206.94,2666.274,0.0,1,1
1.0,26.0,11.0,1.0,0.0,1.0,0.0,2754.646,26372.28,0,1
1.0,28.0,10.0,1.0,0.0,0.0,0.0,2836.506,3196.571,0,1
1.0,19.0,8.0,1.0,0.0,0.0,2636.353,2937.264,7535.942,1,1
1.0,42.0,9.0,1.0,0.0,1.0,0.0,3058.531,1294.409,0,1
1.0,18.0,9.0,1.0,0.0,0.0,0.0,3287.375,5010.342,0,1
1.0,27.0,10.0,1.0,0.0,0.0,1001.146,3550.075,0.0,1,1
1.0,21.0,8.0,1.0,0.0,0.0,989.2678,3695.897,4279.613,1,1
1.0,22.0,9.0,1.0,0.0,0.0,2192.877,3836.986,3462.564,1,1
1.0,29.0,10.0,1.0,0.0,0.0,0.0,4398.95,0.0,0,1
0.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,50.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,28.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,54.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,55.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
0.0,47.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,44.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,50.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,4728.725,0,0
0.0,49.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,55.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,34.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,34.0,16.0,0.0,0.0,1.0,0.0,0.0,11821.813,0,0
0.0,55.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
0.0,52.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,52.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,30.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,30.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,44.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,46.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,53.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,9014.1321,0,0
0.0,49.0,12.0,0.0,0.0,1.0,0.0,0.0,13299.538999999999,0,0
0.0,39.0,15.0,0.0,0.0,1.0,0.0,0.0,1921.0445,0,0
0.0,26.0,17.0,0.0,0.0,1.0,0.0,0.0,11821.813,0,0
0.0,32.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,34.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,31.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,39.0,17.0,0.0,1.0,1.0,0.0,0.0,8866.3594,0,0
0.0,40.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,31.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,27.0,13.0,0.0,0.0,1.0,0.0,0.0,28076.805,0,0
0.0,48.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,41.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,48.0,12.0,0.0,0.0,1.0,0.0,0.0,12930.108,0,0
0.0,45.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,37.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,31.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,36.0,12.0,1.0,0.0,1.0,0.0,0.0,17732.718999999997,0,0
0.0,44.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,28.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,30.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,42.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,30.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.0,27.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
